 n,time,method_enum,problem_enum,api_enum,compiler_enum
            8192,             0.0000033437972888,  0,  0,  1, 0
           32768,             0.0000139591284096,  0,  0,  1, 0
          131072,             0.0000591573771089,  0,  0,  1, 0
          524288,             0.0002456144429743,  0,  0,  1, 0
         2097152,             0.0009527505608276,  0,  0,  1, 0
         8388608,             0.0089340972481295,  0,  0,  1, 0
        33554432,             0.0357106943847612,  0,  0,  1, 0
       134217728,             0.1377176371170208,  0,  0,  1, 0
       536870912,             0.5485435971058905,  0,  0,  1, 0
            8192,             0.0000001698499545,  1,  0,  1, 0
           32768,             0.0000001355074346,  1,  0,  1, 0
          131072,             0.0000002464512363,  1,  0,  1, 0
          524288,             0.0000003949971870,  1,  0,  1, 0
         2097152,             0.0000010456424206,  1,  0,  1, 0
         8388608,             0.0000030860537663,  1,  0,  1, 0
        33554432,             0.0000057540601119,  1,  0,  1, 0
       134217728,             0.0000218986533582,  1,  0,  1, 0
       536870912,             0.0000203646486625,  1,  0,  1, 0
            8192,             0.0000001385342330,  2,  0,  1, 0
           32768,             0.0000001121079549,  2,  0,  1, 0
          131072,             0.0000002660090104,  2,  0,  1, 0
          524288,             0.0000003732275218,  2,  0,  1, 0
         2097152,             0.0000009596114978,  2,  0,  1, 0
         8388608,             0.0000031259842217,  2,  0,  1, 0
        33554432,             0.0000057874713093,  2,  0,  1, 0
       134217728,             0.0000104833161458,  2,  0,  1, 0
       536870912,             0.0000195923494175,  2,  0,  1, 0
            8192,             0.0018163038184866,  4,  0,  1, 0
           32768,             0.0000017348211259,  4,  0,  1, 0
          131072,             0.0000014380784705,  4,  0,  1, 0
          524288,             0.0000019718427211,  4,  0,  1, 0
         2097152,             0.0000025241170079,  4,  0,  1, 0
         8388608,             0.0000043816398829,  4,  0,  1, 0
        33554432,             0.0000056658172980,  4,  0,  1, 0
       134217728,             0.0000089035602286,  4,  0,  1, 0
       536870912,             0.0000124328071252,  4,  0,  1, 0
            8192,             0.0018032194348052,  9,  0,  1, 0
           32768,             0.0000113924033940,  9,  0,  1, 0
          131072,             0.0000360782723874,  9,  0,  1, 0
          524288,             0.0001523254904896,  9,  0,  1, 0
         2097152,             0.0005425745621324,  9,  0,  1, 0
         8388608,             0.0028833672404289,  9,  0,  1, 0
        33554432,             0.0116211842978373,  9,  0,  1, 0
       134217728,             0.0444658126216382,  9,  0,  1, 0
       536870912,             0.1734940443420783,  9,  0,  1, 0
            8192,             0.1394698917865753,  6,  0,  1, 0
           32768,             0.0001398661406711,  6,  0,  1, 0
          131072,             0.0003860238939524,  6,  0,  1, 0
          524288,             0.0012752338079736,  6,  0,  1, 0
         2097152,             0.0036681669298559,  6,  0,  1, 0
         8388608,             0.0149830055888742,  6,  0,  1, 0
        33554432,             0.0620031282305717,  6,  0,  1, 0
       134217728,             0.2201128230663016,  6,  0,  1, 0
       536870912,             0.8456225597765297,  6,  0,  1, 0
            8192,             0.0001687171170488,  7,  0,  1, 0
           32768,             0.0000818396219984,  7,  0,  1, 0
          131072,             0.0002478397218511,  7,  0,  1, 0
          524288,             0.0007386414799839,  7,  0,  1, 0
         2097152,             0.0020408353302628,  7,  0,  1, 0
         8388608,             0.0073809148743749,  7,  0,  1, 0
        33554432,             0.0282071416731924,  7,  0,  1, 0
       134217728,             0.0984041482442990,  7,  0,  1, 0
       536870912,             0.3901408326346427,  7,  0,  1, 0
            4096,             0.0000031820964068,  0,  0,  0, 0
           16384,             0.0000137692550197,  0,  0,  0, 0
           65536,             0.0000590942800045,  0,  0,  0, 0
          262144,             0.0002318092156202,  0,  0,  0, 0
         1048576,             0.0009276579366997,  0,  0,  0, 0
         4194304,             0.0085963211022317,  0,  0,  0, 0
        16777216,             0.0397734420839697,  0,  0,  0, 0
        67108864,             0.1398974063340575,  0,  0,  0, 0
       268435456,             0.5247687587980181,  0,  0,  0, 0
            4096,             0.0000032272655517,  1,  0,  0, 0
           16384,             0.0000132842687890,  1,  0,  0, 0
           65536,             0.0000591303687543,  1,  0,  0, 0
          262144,             0.0002269321121275,  1,  0,  0, 0
         1048576,             0.0009081703610718,  1,  0,  0, 0
         4194304,             0.0088888809550554,  1,  0,  0, 0
        16777216,             0.0348814646713436,  1,  0,  0, 0
        67108864,             0.1398421569028869,  1,  0,  0, 0
       268435456,             0.5347439161268994,  1,  0,  0, 0
            4096,             0.0000032134121284,  2,  0,  0, 0
           16384,             0.0000137167517096,  2,  0,  0, 0
           65536,             0.0000590001000091,  2,  0,  0, 0
          262144,             0.0002476219087839,  2,  0,  0, 0
         1048576,             0.0009598366450518,  2,  0,  0, 0
         4194304,             0.0086426610359922,  2,  0,  0, 0
        16777216,             0.0378579313401133,  2,  0,  0, 0
        67108864,             0.1387237528106198,  2,  0,  0, 0
       268435456,             0.5490376322995871,  2,  0,  0, 0
            4096,             0.0000052516115829,  3,  0,  0, 0
           16384,             0.0000136740272865,  3,  0,  0, 0
           65536,             0.0000582637730986,  3,  0,  0, 0
          262144,             0.0002277436433360,  3,  0,  0, 0
         1048576,             0.0009437123080716,  3,  0,  0, 0
         4194304,             0.0087717088172212,  3,  0,  0, 0
        16777216,             0.0341544345719740,  3,  0,  0, 0
        67108864,             0.1367115183966234,  3,  0,  0, 0
       268435456,             0.5283149717142805,  3,  0,  0, 0
            4096,             0.1357366036390886,  6,  0,  0, 0
           16384,             0.0001611599000171,  6,  0,  0, 0
           65536,             0.0003868574276567,  6,  0,  0, 0
          262144,             0.0013077197363600,  6,  0,  0, 0
         1048576,             0.0037814440438524,  6,  0,  0, 0
         4194304,             0.0145563463447616,  6,  0,  0, 0
        16777216,             0.0610461772885174,  6,  0,  0, 0
        67108864,             0.2232544502476230,  6,  0,  0, 0
       268435456,             0.8585496301529929,  6,  0,  0, 0
            4096,             0.0002137570409104,  7,  0,  0, 0
           16384,             0.0000844933092594,  7,  0,  0, 0
           65536,             0.0002529491903260,  7,  0,  0, 0
          262144,             0.0007338651921600,  7,  0,  0, 0
         1048576,             0.0021420477423817,  7,  0,  0, 0
         4194304,             0.0076627540402114,  7,  0,  0, 0
        16777216,             0.0297944555059075,  7,  0,  0, 0
        67108864,             0.1071848471183330,  7,  0,  0, 0
       268435456,             0.4048885722877458,  7,  0,  0, 0
            4096,             0.0018873993540183,  4,  0,  0, 0
           16384,             0.0000097315059975,  4,  0,  0, 0
           65536,             0.0000345063162968,  4,  0,  0, 0
          262144,             0.0001500538783148,  4,  0,  0, 0
         1048576,             0.0005606124177575,  4,  0,  0, 0
         4194304,             0.0029170364141464,  4,  0,  0, 0
        16777216,             0.0116878052940592,  4,  0,  0, 0
        67108864,             0.0453847901662812,  4,  0,  0, 0
       268435456,             0.1748035358032212,  4,  0,  0, 0
            4096,             0.0018282003002241,  9,  0,  0, 0
           16384,             0.0000102499034256,  9,  0,  0, 0
           65536,             0.0000503024784848,  9,  0,  0, 0
          262144,             0.0001334898406640,  9,  0,  0, 0
         1048576,             0.0005005637649447,  9,  0,  0, 0
         4194304,             0.0028721354901791,  9,  0,  0, 0
        16777216,             0.0117540978826582,  9,  0,  0, 0
        67108864,             0.0442703063599765,  9,  0,  0, 0
       268435456,             0.1753409265074879,  9,  0,  0, 0
            8192,             0.0000090000000000,  0,  0,  1,             3
           32768,             0.0000160000000000,  0,  0,  1,             3
          131072,             0.0000839000000000,  0,  0,  1,             3
          524288,             0.0004120000000000,  0,  0,  1,             3
         2097152,             0.0013290000000000,  0,  0,  1,             3
         8388608,             0.0087750000000000,  0,  0,  1,             3
        33554432,             0.0394130000000000,  0,  0,  1,             3
       134217728,             0.1509300000000000,  0,  0,  1,             3
       536870912,             0.5713531999999999,  0,  0,  1,             3

            8192,             0.0000009000000000,  1,  0,  1,             3
           32768,             0.0000000000000000,  1,  0,  1,             3
          131072,             0.0000000000000000,  1,  0,  1,             3
          524288,             0.0000000000000000,  1,  0,  1,             3
         2097152,             0.0000009000000000,  1,  0,  1,             3
         8388608,             0.0000019000000000,  1,  0,  1,             3
        33554432,             0.0000059000000000,  1,  0,  1,             3
       134217728,             0.0000110000000002,  1,  0,  1,             3
       536870912,             0.0000201000000004,  1,  0,  1,             3

            8192,             0.0000009000000000,  2,  0,  1,             3
           32768,             0.0000000000000000,  2,  0,  1,             3
          131072,             0.0000000000000000,  2,  0,  1,             3
          524288,             0.0000009000000000,  2,  0,  1,             3
         2097152,             0.0000012000000000,  2,  0,  1,             3
         8388608,             0.0000031000000000,  2,  0,  1,             3
        33554432,             0.0000060000000000,  2,  0,  1,             3
       134217728,             0.0000109000000001,  2,  0,  1,             3
       536870912,             0.0000200000000001,  2,  0,  1,             3

            8192,             0.0009288000000000,  4,  0,  1,             3
           32768,             0.0000029000000000,  4,  0,  1,             3
          131072,             0.0000019000000000,  4,  0,  1,             3
          524288,             0.0000031000000000,  4,  0,  1,             3
         2097152,             0.0000069000000000,  4,  0,  1,             3
         8388608,             0.0000119000000000,  4,  0,  1,             3
        33554432,             0.0000711000000000,  4,  0,  1,             3
       134217728,             0.0000698000000001,  4,  0,  1,             3
       536870912,             0.0000710000000002,  4,  0,  1,             3

            8192,             0.0004189000000000,  9,  0,  1,             3
           32768,             0.0000171000000000,  9,  0,  1,             3
          131072,             0.0000472000000000,  9,  0,  1,             3
          524288,             0.0001810000000000,  9,  0,  1,             3
         2097152,             0.0009959000000000,  9,  0,  1,             3
         8388608,             0.0036621000000000,  9,  0,  1,             3
        33554432,             0.0141161000000000,  9,  0,  1,             3
       134217728,             0.0542880000000001,  9,  0,  1,             3
       536870912,             0.2193670999999995,  9,  0,  1,             3
            4096,             0.0000081000000000,  0,  0,  0,             3
           16384,             0.0000222000000000,  0,  0,  0,             3
           65536,             0.0001192000000000,  0,  0,  0,             3
          262144,             0.0003870000000000,  0,  0,  0,             3
         1048576,             0.0013170000000000,  0,  0,  0,             3
         4194304,             0.0089050000000000,  0,  0,  0,             3
        16777216,             0.0383682000000000,  0,  0,  0,             3
        67108864,             0.1456648999999999,  0,  0,  0,             3
       268435456,             0.5702300000000005,  0,  0,  0,             3

            4096,             0.0000059000000000,  1,  0,  0,             3
           16384,             0.0000219000000000,  1,  0,  0,             3
           65536,             0.0000992000000000,  1,  0,  0,             3
          262144,             0.0004042000000000,  1,  0,  0,             3
         1048576,             0.0013399000000000,  1,  0,  0,             3
         4194304,             0.0087509000000000,  1,  0,  0,             3
        16777216,             0.0392100000000000,  1,  0,  0,             3
        67108864,             0.1568148000000000,  1,  0,  0,             3
       268435456,             0.5862947999999992,  1,  0,  0,             3

            4096,             0.0000059000000000,  2,  0,  0,             3
           16384,             0.0000220000000000,  2,  0,  0,             3
           65536,             0.0000971000000000,  2,  0,  0,             3
